,open,close,high,low,volume,money
2015-01-05,2.58,2.622,2.655,2.555,1596469296.0,4140996832.0
2015-01-06,2.6,2.592,2.651,2.561,1556186768.0,4048279328.0
2015-01-07,2.575,2.588,2.622,2.558,888796928.0,2301888512.0
2015-01-08,2.599,2.518,2.61,2.51,793662496.0,2018320288.0
2015-01-09,2.51,2.524,2.644,2.496,1156150496.0,2961835024.0
2015-01-12,2.553,2.5,2.555,2.458,1514645296.0,3794552992.0
2015-01-13,2.5,2.485,2.524,2.471,853799904.0,2131201104.0
2015-01-14,2.495,2.494,2.53,2.466,1207694512.0,3022368208.0
2015-01-15,2.494,2.586,2.59,2.475,1940225888.0,4908509184.0
2015-01-16,2.598,2.604,2.634,2.581,1693215264.0,4415809792.0
2015-01-19,2.43,2.344,2.465,2.344,1800415952.0,4334764288.0
2015-01-20,2.341,2.361,2.4,2.316,1838117072.0,4339336704.0
2015-01-21,2.386,2.503,2.517,2.372,1644295664.0,4013711056.0
2015-01-22,2.51,2.499,2.515,2.462,1653108864.0,4124867568.0
2015-01-23,2.514,2.524,2.569,2.499,1946775072.0,4924803584.0
2015-01-26,2.531,2.519,2.531,2.485,1096595040.0,2749236448.0
2015-01-27,2.529,2.478,2.532,2.436,1388384688.0,3445722752.0
2015-01-28,2.452,2.442,2.493,2.435,1416961664.0,3479909088.0
2015-01-29,2.403,2.4,2.422,2.379,979790736.0,2355012992.0
2015-01-30,2.415,2.367,2.433,2.358,1143491616.0,2735094416.0
2015-02-02,2.301,2.299,2.342,2.293,1176367760.0,2719672272.0
2015-02-03,2.329,2.367,2.378,2.3,1235914928.0,2883248272.0
2015-02-04,2.375,2.334,2.404,2.331,1244132384.0,2951498256.0
2015-02-05,2.42,2.316,2.426,2.313,1549460976.0,3685168672.0
2015-02-06,2.311,2.291,2.333,2.27,1463378000.0,3379291184.0
2015-02-09,2.291,2.331,2.359,2.28,1639267504.0,3805047008.0
2015-02-10,2.331,2.369,2.374,2.321,1404951504.0,3307644640.0
2015-02-11,2.371,2.38,2.388,2.359,949834224.0,2254381264.0
2015-02-12,2.379,2.384,2.391,2.351,728166816.0,1727233984.0
2015-02-13,2.39,2.39,2.429,2.382,1073007392.0,2579400224.0
2015-02-16,2.39,2.394,2.403,2.379,656174080.0,1568280912.0
2015-02-17,2.401,2.411,2.429,2.401,707313824.0,1708546544.0
2015-02-25,2.411,2.37,2.411,2.359,621418720.0,1482105888.0
2015-02-26,2.368,2.45,2.452,2.348,1277919840.0,3073475088.0
2015-02-27,2.447,2.438,2.465,2.428,864907568.0,2118466992.0
2015-03-02,2.456,2.441,2.46,2.424,1123464272.0,2743186288.0
2015-03-03,2.427,2.364,2.427,2.36,1090539792.0,2608596592.0
2015-03-04,2.368,2.362,2.381,2.342,1077661312.0,2546663824.0
2015-03-05,2.345,2.334,2.351,2.312,1168613200.0,2726749712.0
2015-03-06,2.335,2.339,2.361,2.333,1273296608.0,2988489872.0
2015-03-09,2.3,2.397,2.41,2.289,1616493728.0,3779924704.0
2015-03-10,2.381,2.359,2.389,2.355,1140339296.0,2701126640.0
2015-03-11,2.363,2.374,2.41,2.362,1076556768.0,2568748640.0
2015-03-12,2.404,2.448,2.472,2.388,1531205840.0,3717288864.0
2015-03-13,2.458,2.455,2.495,2.44,1220491328.0,3013068272.0
2015-03-16,2.472,2.51,2.513,2.451,1159802144.0,2884278432.0
2015-03-17,2.537,2.543,2.549,2.519,1000452160.0,2534648608.0
2015-03-18,2.55,2.611,2.614,2.55,1140666864.0,2938701584.0
2015-03-19,2.604,2.587,2.61,2.575,1269959952.0,3289417264.0
2015-03-20,2.599,2.635,2.668,2.576,1194598640.0,3128225584.0
