id,code,trading_code,name,contract_type,exchange_code,currency_id,underlying_symbol,underlying_name,underlying_exchange,underlying_type,exercise_price,contract_unit,contract_status,list_date,list_reason,list_price,high_limit,low_limit,expire_date,last_trade_date,exercise_date,delivery_date,is_adjust,delist_date,delist_reason
1,10000001.XSHG,510050C1503M02200,50ETF购3月2200,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.1812,0.4103,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
2,10000002.XSHG,510050C1503M02250,50ETF购3月2250,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1528,0.3819,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
3,10000003.XSHG,510050C1503M02300,50ETF购3月2300,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1276,0.3558,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
4,10000004.XSHG,510050C1503M02350,50ETF购3月2350,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1054,0.3286,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
5,10000005.XSHG,510050C1503M02400,50ETF购3月2400,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.0862,0.3044,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
6,10000006.XSHG,510050P1503M02200,50ETF沽3月2200,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.0788,0.2897,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
7,10000007.XSHG,510050P1503M02250,50ETF沽3月2250,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1001,0.321,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
8,10000008.XSHG,510050P1503M02300,50ETF沽3月2300,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1246,0.3537,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
9,10000009.XSHG,510050P1503M02350,50ETF沽3月2350,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1522,0.3813,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
10,10000010.XSHG,510050P1503M02400,50ETF沽3月2400,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.1828,0.4119,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
